"Num_Acc","an","mois","jour","hrmn","lum","agg","int","atm","col","com","adr","gps","lat","long","dep","Jour_semaine","temper","humid","precipit","h_neige"
2.01e+11,5,1,30,1545,1,2,2,1,5,147,"41, DESSAUX (RUE ANDRE D","",NA,"",450,"Dimanche",271.0125,76.625,0,0
2.01e+11,5,1,27,1427,1,2,1,1,1,234,"DROITS DE L'HOMME (AVENU","",NA,"",450,"Jeudi",270.425,70.875,0,0
2.01e+11,5,1,31,1353,1,2,1,1,6,234,"SOULAS (AVENUE LOUIS JOS","",NA,"",450,"Lundi",275.25,95.625,0,0
2.01e+11,5,1,28,2255,5,2,1,2,6,232,"275, ORMES (RUE DES)","",NA,"",450,"Vendredi",273.6875,96.125,0.25,0.02
2.01e+11,5,2,3,645,2,2,1,1,6,4,"1176, DOCTEUR SCHWEITZER","",NA,"",450,"Jeudi",278.5625,82,0,0
2.01e+11,5,2,4,2255,5,2,1,1,3,338,"24 bis, BARAUDIERE (RUE","",NA,"",450,"Vendredi",275.5625,89.5,0,0
2.01e+11,5,2,5,905,1,2,1,1,6,208,"82, GENERAL DE GAULLE (A","",NA,"",450,"Samedi",274.55,83.75,0,0
2.01e+11,5,2,7,1700,1,2,2,1,3,68,"19, VILLEMANDEUR (RUE DE","",NA,"",450,"Lundi",277.5375,84.25,0,0
2.01e+11,5,2,26,1900,3,2,1,1,3,208,"33, VIMORY (RUE DE)","",NA,"",450,"Samedi",272.5375,71.625,0,0
2.01e+11,5,2,3,1530,1,2,4,1,6,234,"2, COMMANDANT ARAGO (RUE","",NA,"",450,"Jeudi",278.5625,82,0,0
2.01e+11,5,2,6,1410,1,2,2,1,3,234,"57, MARTIN (BOULEVARD AL","",NA,"",450,"Dimanche",276.125,84.375,0,0
2.01e+11,5,2,6,1140,1,2,2,2,3,147,"59, BERTHELOT (RUE MARCE","",NA,"",450,"Dimanche",276.125,84.375,0,0
2.01e+11,5,2,4,1915,5,2,1,1,6,147,"38, DE GAULLE (RUE DU GE","",NA,"",450,"Vendredi",275.5625,89.5,0,0
2.01e+11,5,2,6,630,5,2,1,1,6,147,"29, DESSAUX (RUE ANDRE D","",NA,"",450,"Dimanche",276.125,84.375,0,0
2.01e+11,5,2,8,1850,3,2,1,1,5,234,"01, SECRETAIN (AVENUE RO","",NA,"",450,"Mardi",278.2875,76.875,0,0
2.01e+11,5,2,9,1855,5,2,2,1,3,232,"76, CHAFFAULTS (RUE DES","",NA,"",450,"Mercredi",278.6,80.625,0,0
2.01e+11,5,2,9,210,5,2,1,1,7,232,"SOLOGNE (AVENUE DE)","",NA,"",450,"Mercredi",278.6,80.625,0,0
2.01e+11,5,2,11,55,5,2,1,8,6,234,", SECRETAIN (AVENUE ROGE","",NA,"",450,"Vendredi",282.475,93.375,1.825,0
2.01e+11,5,2,11,910,1,2,2,2,4,232,"22, NATIONALE/R .","",NA,"",450,"Vendredi",282.475,93.375,1.825,0
2.01e+11,5,2,12,1635,1,2,2,1,6,234,"SECRETAIN (AVENUE ROGER)","",NA,"",450,"Samedi",283.9375,91,0.575,0
2.01e+11,5,2,12,1000,1,2,3,2,2,235,"DE GAULLE (AVENUE CHARLE","",NA,"",450,"Samedi",283.9375,91,0.575,0
2.01e+11,5,2,14,925,1,2,1,1,2,235,"2733, SANDILLON (ROUTE D","",NA,"",450,"Lundi",275.825,81.75,0.075,0
2.01e+11,5,2,15,1045,1,2,1,2,5,302,"01, ROUTE NATIONALE 20","",NA,"",450,"Mardi",274.625,80,0,0
2.01e+11,5,2,15,1435,1,2,1,1,6,234,"26, ROCHEPLATTE (BOULEVA","",NA,"",450,"Mardi",274.625,80,0,0
2.01e+11,5,2,16,2005,5,2,1,1,6,234,"10, CLOS DU RENARD (RUE","",NA,"",450,"Mercredi",273.2375,74.75,0.025,0
2.01e+11,5,2,17,1415,1,2,1,1,6,234,"124, FAUBOURG BANNIER (R","",NA,"",450,"Jeudi",272.725,67.125,0,0
2.01e+11,5,2,19,1640,1,2,2,1,3,234,"LOUP PENDU (RUE DU LOUP","",NA,"",450,"Samedi",275.4125,88.875,0.375,0
2.01e+11,5,2,22,1240,1,2,1,4,4,234,"264, FAUBOURG BANNIER (R","",NA,"",450,"Mardi",271.4625,93.75,0.025,0
2.01e+11,5,2,23,835,1,2,3,4,6,235,"26, MALHERBE  (RUE FRANC","",NA,"",450,"Mercredi",271.625,87.875,0.025,0.0133333333333333
2.01e+11,5,2,23,1845,5,2,1,1,6,234,"21, JAURES (BOULEVARD JE","",NA,"",450,"Mercredi",271.625,87.875,0.025,0.0133333333333333
2.01e+11,5,2,24,1850,5,2,2,1,6,147,"44, JAURES (RUE JEAN JAU","",NA,"",450,"Jeudi",271.15,88.875,0.025,0.02
2.01e+11,5,2,25,945,1,2,2,1,3,147,", BROSSOLETTE (RUE PIERR","",NA,"",450,"Vendredi",271.725,83.625,0,0
2.01e+11,5,2,26,2120,5,2,3,1,3,234,"OLIVET (ROUTE D'OLIVET)","",NA,"",450,"Samedi",272.5375,71.625,0,0
2.01e+11,5,2,26,2040,4,2,1,4,6,234,"628, FORT  (RUE DU)","",NA,"",450,"Samedi",272.5375,71.625,0,0
2.01e+11,5,2,26,635,5,2,1,1,6,234,"17, TREVISE (AVENUE DE)","",NA,"",450,"Samedi",272.5375,71.625,0,0
2.01e+11,5,2,25,2045,5,2,1,1,6,234,"53, ROYALE (RUE)","",NA,"",450,"Vendredi",271.725,83.625,0,0
2.01e+11,5,2,25,2250,5,2,1,1,2,147,"BANNIER (RUE DU FAUBOURG","",NA,"",450,"Vendredi",271.725,83.625,0,0
2.01e+11,5,2,28,1605,1,2,2,1,3,234,"57, CIGOGNE (RUE DE LA)","",NA,"",450,"Lundi",268.65,52.625,0,0
2.01e+11,5,2,9,1815,2,2,1,1,3,59,"RN 157","M",0,"0.0",450,"Mercredi",278.6,80.625,0,0
2.01e+11,5,2,12,1730,1,1,1,1,6,126,"","M",4790200,"212700.0",450,"Samedi",283.9375,91,0.575,0
2.01e+11,5,2,4,1945,5,2,1,1,3,173,"Boulevard Carnot","M",4787100,"212300.0",450,"Vendredi",275.5625,89.5,0,0
2.01e+11,5,2,10,1700,1,1,1,1,7,241,"","M",4785200,"217900.0",450,"Jeudi",279.575,88.25,0,0
2.01e+11,5,2,17,2215,5,1,1,1,6,273,"","M",4787400,"213400.0",450,"Jeudi",272.725,67.125,0,0
2.01e+11,5,2,19,1700,1,2,1,2,3,193,"PLACE DE L'EGLISE","M",4776900,"202200.0",450,"Samedi",275.4125,88.875,0.375,0
2.01e+11,5,2,24,1930,5,2,1,1,6,273,"Rue de la Solaie","M",0,"0.0",450,"Jeudi",271.15,88.875,0.025,0.02
2.01e+11,5,2,7,1530,1,1,1,1,7,280,"","M",0,"0.0",450,"Lundi",277.5375,84.25,0,0
2.01e+11,5,2,12,1530,1,1,1,8,3,254,"","M",0,"0.0",450,"Samedi",283.9375,91,0.575,0
2.01e+11,5,2,2,915,1,2,1,2,6,39,"32 rue de Bonnée","M",0,"0.0",450,"Mercredi",277.2375,91.25,0.025,0
2.01e+11,5,2,5,2030,3,1,1,1,6,259,"","M",0,"0.0",450,"Samedi",274.55,83.75,0,0
2.01e+11,5,2,19,1200,1,1,1,1,3,293,"","M",0,"0.0",450,"Samedi",275.4125,88.875,0.375,0
2.01e+11,5,2,18,2015,3,1,1,1,5,306,"","M",4802000,"286000.0",450,"Vendredi",273.1875,76.375,0,0
2.01e+11,5,2,22,2315,3,1,1,4,6,145,"","M",0,"0.0",450,"Mardi",271.4625,93.75,0.025,0
2.01e+11,5,2,10,1215,1,1,1,8,7,106,"","M",0,"0.0",450,"Jeudi",279.575,88.25,0,0
2.01e+11,5,2,13,2015,3,1,1,4,1,252,"","M",4816700,"222900.0",450,"Dimanche",277.4125,89.375,1,0
2.01e+11,5,2,20,2130,5,2,1,9,1,10,"Route de Jargeau","M",4812800,"225200.0",450,"Dimanche",273.8375,89.875,0.375,0.02
2.01e+11,5,2,19,1500,1,1,1,8,6,317,"","M",0,"0.0",450,"Samedi",275.4125,88.875,0.375,0
2.01e+11,5,2,25,1300,1,1,1,1,6,8,"","M",0,"0.0",450,"Vendredi",271.725,83.625,0,0
2.01e+11,5,3,24,1345,1,1,1,2,5,82,"","M",0,"0.0",450,"Jeudi",284.125,90.875,1.375,0
2.01e+11,5,3,20,1500,1,2,1,1,3,173,"boulevard Jean d'arc","M",4787000,"212000.0",450,"Dimanche",287.825,68,0,0
2.01e+11,5,3,23,1430,1,2,1,1,1,123,"Route d'Orléans","M",0,"0.0",450,"Mercredi",285.9,80.375,0.025,0
2.01e+11,5,3,17,1630,1,1,1,1,2,24,"","M",4782100,"168000.0",450,"Jeudi",287.2,71,0,0
2.01e+11,5,3,25,45,3,2,1,5,1,195,"","M",4811200,"217300.0",450,"Vendredi",284.55,80.875,0,0
2.01e+11,5,3,29,1700,1,1,1,2,7,314,"","M",0,"0.0",450,"Mardi",283.9625,90.125,0.575,0
2.01e+11,5,3,11,1700,1,1,1,1,2,60,"","M",4772700,"274000.0",450,"Vendredi",278.3375,72.875,0,0
2.01e+11,5,3,16,1130,1,2,1,1,3,53,"RUE YVER BAPTEROSSE","M",0,"0.0",450,"Mercredi",286.2,63.625,0,0
2.01e+11,5,3,30,2130,3,1,1,3,5,53,"","M",0,"0.0",450,"Mercredi",284.85,82.375,0,0
2.01e+11,5,3,31,730,1,1,1,1,1,53,"","M",0,"0.0",450,"Jeudi",283.2,83.875,0.2,0
2.01e+11,5,3,24,1300,1,2,1,2,1,122,"CD 952","M",0,"0.0",450,"Jeudi",284.125,90.875,1.375,0
2.01e+11,5,3,25,1930,3,1,1,1,6,340,"","M",4770900,"233900.0",450,"Vendredi",284.55,80.875,0,0
2.01e+11,5,3,28,1230,1,1,1,2,6,244,"","M",4776900,"255500.0",450,"Lundi",284.7,85.75,0.05,0
2.01e+11,5,3,22,1000,1,1,1,2,1,129,"","M",4795700,"306000.0",450,"Mardi",285.975,86.125,0.3,0
2.01e+11,5,3,23,1630,1,1,1,1,6,222,"","M",0,"0.0",450,"Mercredi",285.9,80.375,0.025,0
2.01e+11,5,3,27,15,3,1,1,2,6,303,"","M",4807000,"263000.0",450,"Dimanche",284.05,94.125,1.8,0
2.01e+11,5,3,1,1745,1,2,1,1,1,30,"rue du Général Crouzat","M",0,"0.0",450,"Mardi",268.425,60.5,0,0
2.01e+11,5,3,1,900,1,1,1,1,7,203,"","M",0,"0.0",450,"Mardi",268.425,60.5,0,0
2.01e+11,5,3,26,645,1,1,1,1,7,154,"","M",0,"0.0",450,"Samedi",286.2625,83.5,0.775,0
2.01e+11,5,3,26,1230,1,1,1,1,6,317,"","M",0,"0.0",450,"Samedi",286.2625,83.5,0.775,0
2.01e+11,5,3,18,1345,1,2,1,1,1,68,"30, MANDELA(AVENUE NELSO","",NA,"",450,"Vendredi",286.2375,76.375,0,0
2.01e+11,5,3,2,840,1,2,3,1,3,234,"111, ZAY (RUE JEAN ZAY)","",NA,"",450,"Mercredi",271.725,57.75,0,0
2.01e+11,5,3,6,110,5,2,2,1,5,147,"11 OCTOBRE (RUE DU 11 OC","",NA,"",450,"Dimanche",272.6875,79.75,0,0.025
2.01e+11,5,3,10,1815,2,2,1,1,6,234,"25, BALZAC (RUE HONORE D","",NA,"",450,"Jeudi",277.275,81.125,0,0
