"Num_Acc";"senc";"catv";"occutc";"obs";"obsm";"choc";"manv";"an";"mois";"jour";"hrmn";"Jour_semaine";"lum";"agg";"atm";"adr";"long";"lat";"dep"
200500003624;0;7;0;0;2;0;2;2005;1;10;955;"Lundi";1;2;1;"887, SOURCE (RUE DE LA)";"";NA;450
200500003624;0;1;0;0;2;0;2;2005;1;10;955;"Lundi";1;2;1;"887, SOURCE (RUE DE LA)";"";NA;450
200500003625;0;7;0;14;0;1;2;2005;1;11;1730;"Mardi";5;2;2;"GALLOUX (AVENUE GASTON)";"";NA;450
200500003625;0;10;0;14;2;0;23;2005;1;11;1730;"Mardi";5;2;2;"GALLOUX (AVENUE GASTON)";"";NA;450
200500003625;0;7;0;0;2;4;23;2005;1;11;1730;"Mardi";5;2;2;"GALLOUX (AVENUE GASTON)";"";NA;450
200500003626;0;7;0;5;0;0;1;2005;1;12;1210;"Mercredi";1;2;8;"NATIONALE (ROUTE )";"";NA;450
200500003626;0;7;0;14;0;0;1;2005;1;12;1210;"Mercredi";1;2;8;"NATIONALE (ROUTE )";"";NA;450
200500003627;0;7;0;0;2;0;1;2005;1;14;40;"Vendredi";5;2;5;"115, VERDUN (RUE DE VERD";"";NA;450
200500003627;2;7;0;5;2;0;0;2005;1;14;40;"Vendredi";5;2;5;"115, VERDUN (RUE DE VERD";"";NA;450
200500003628;0;7;0;0;2;7;13;2005;1;15;540;"Samedi";5;2;5;"DE GAULLE (AVENUE CHARLE";"";NA;450
200500003628;0;7;0;0;2;1;1;2005;1;15;540;"Samedi";5;2;5;"DE GAULLE (AVENUE CHARLE";"";NA;450
200500003629;0;10;0;0;2;1;1;2005;1;17;2045;"Lundi";5;2;2;"114, CHARBONNIERE (RUE D";"";NA;450
200500003629;0;7;0;0;2;8;1;2005;1;17;2045;"Lundi";5;2;2;"114, CHARBONNIERE (RUE D";"";NA;450
200500003630;0;7;0;0;2;1;2;2005;1;19;1420;"Mercredi";1;2;8;"20, ZAY (AVENUE JEAN ZAY";"";NA;450
200500003630;0;7;0;0;0;4;23;2005;1;19;1420;"Mercredi";1;2;8;"20, ZAY (AVENUE JEAN ZAY";"";NA;450
200500003631;0;7;0;0;1;7;1;2005;1;23;1225;"Dimanche";1;2;1;"23, FAUBOURG SAINT VINCE";"";NA;450
