"Num_Acc";"grav0";"grav1";"grav2";"grav3"
"200500019838";"1";"1";"0";"0"
"200500019839";"1";"0";"1";"0"
"200500019840";"0";"1";"0";"0"
"200500019841";"0";"1";"1";"0"
"200500019842";"1";"1";"0";"0"
"200500019843";"0";"1";"0";"1"
"200500019844";"0";"2";"1";"0"
"200500019845";"1";"1";"0";"0"
"200500019846";"0";"0";"1";"0"
"200500024352";"0";"0";"1";"0"
"200500024353";"1";"1";"0";"0"
"200500024354";"0";"1";"0";"0"
"200500024355";"2";"1";"0";"0"
"200500024356";"0";"2";"0";"0"
"200500024357";"1";"1";"0";"0"
"200500024358";"1";"0";"1";"0"
"200500024359";"0";"1";"0";"0"
"200500024360";"1";"1";"2";"0"
"200500024361";"1";"1";"0";"0"
"200500024362";"0";"1";"0";"0"
"200500024363";"1";"1";"0";"0"
"200500024364";"0";"1";"0";"0"
"200500024365";"1";"1";"0";"0"
"200500024366";"1";"2";"0";"0"
"200500024496";"0";"0";"1";"0"
"200500024497";"0";"0";"0";"1"
"200500026086";"0";"1";"0";"0"
"200500026611";"2";"0";"1";"1"
"200500026612";"0";"1";"0";"1"
"200500026613";"0";"1";"0";"0"
"200500026614";"1";"1";"0";"0"
"200500026615";"0";"0";"1";"0"
"200500026616";"1";"0";"1";"0"
"200500026617";"0";"3";"0";"0"
"200500026618";"0";"0";"1";"0"
"200500026619";"0";"0";"1";"1"
"200500026620";"0";"5";"0";"0"
"200500026621";"1";"0";"1";"0"
"200500026622";"0";"0";"0";"1"
"200500026623";"1";"1";"1";"0"
"200500026624";"3";"0";"1";"0"
"200500026625";"1";"1";"0";"0"
"200500026626";"2";"0";"1";"0"
"200500026627";"0";"1";"1";"0"
"200500026628";"1";"1";"0";"0"
"200500026629";"0";"2";"0";"0"
"200500026630";"0";"2";"0";"0"
"200500026631";"0";"2";"0";"1"
"200500026632";"2";"0";"1";"1"
"200500026633";"1";"1";"0";"0"
"200500026634";"1";"1";"4";"0"
"200500026635";"1";"0";"0";"1"
"200500026636";"0";"1";"1";"0"
"200500026637";"1";"0";"1";"0"
"200500026638";"1";"2";"0";"0"
"200500026639";"1";"1";"0";"0"
"200500026640";"1";"0";"1";"0"
"200500026641";"0";"2";"0";"0"
"200500026642";"0";"1";"2";"1"
"200500026643";"0";"1";"0";"0"
"200500026826";"0";"1";"0";"0"
"200500027002";"0";"1";"0";"0"
"200500027052";"1";"0";"1";"0"
"200500027053";"1";"1";"0";"0"
"200500027054";"1";"1";"0";"0"
"200500027055";"0";"1";"0";"0"
"200500027056";"2";"1";"0";"0"
"200500027057";"1";"1";"0";"0"
"200500027058";"1";"1";"0";"0"
"200500027059";"1";"1";"0";"0"
"200500028775";"0";"3";"1";"0"
"200500028776";"1";"2";"1";"0"
"200500028777";"1";"0";"1";"0"
"200500028778";"0";"0";"1";"0"
"200500028779";"0";"1";"3";"0"
"200500028780";"0";"0";"0";"1"
"200500028781";"1";"1";"0";"0"
"200500028782";"0";"1";"0";"0"
"200500028783";"0";"1";"0";"0"
"200500028784";"1";"1";"0";"0"
"200500028785";"1";"1";"0";"0"
"200500028786";"1";"1";"0";"0"
"200500028787";"2";"1";"0";"0"
"200500028788";"1";"0";"1";"0"
"200500028789";"1";"1";"0";"0"
"200500028790";"1";"1";"0";"0"
"200500028791";"1";"1";"0";"0"
"200500028792";"0";"3";"1";"0"
"200500028793";"1";"1";"0";"0"
"200500028794";"0";"1";"0";"0"
"200500028795";"1";"1";"0";"0"
"200500028796";"1";"1";"0";"0"
"200500028797";"0";"1";"0";"0"
"200500028798";"1";"0";"1";"0"
"200500028799";"1";"1";"0";"0"
"200500028800";"1";"1";"0";"0"
"200500028801";"1";"0";"1";"0"
"200500028802";"1";"0";"1";"0"
"200500028803";"0";"0";"1";"0"
"200500028804";"2";"3";"0";"0"
"200500033950";"1";"0";"1";"0"
"200500033951";"1";"1";"0";"0"
"200500033952";"1";"1";"0";"0"
"200500033953";"1";"1";"0";"0"
"200500033954";"1";"0";"1";"0"
"200500033955";"1";"1";"0";"0"
"200500033956";"1";"1";"0";"0"
"200500033957";"1";"1";"0";"0"
"200500033958";"1";"1";"0";"0"
"200500033959";"1";"1";"0";"0"
"200500033960";"1";"1";"0";"0"
"200500033961";"1";"0";"1";"0"
"200500033962";"0";"2";"0";"0"
"200500033963";"1";"1";"0";"0"
"200500033964";"0";"0";"0";"1"
"200500033965";"1";"1";"0";"0"
"200500033966";"1";"0";"1";"0"
"200500033967";"3";"2";"0";"0"
"200500033968";"2";"2";"0";"0"
"200500033969";"1";"1";"0";"0"
"200500033970";"1";"1";"0";"0"
"200500033971";"0";"1";"0";"0"
"200500033972";"0";"1";"0";"0"
"200500033973";"2";"2";"0";"0"
"200500033974";"1";"1";"0";"0"
"200500033975";"3";"1";"0";"0"
"200500033976";"1";"1";"0";"0"
"200500033977";"0";"0";"1";"0"
"200500033978";"0";"1";"0";"0"
"200500033979";"2";"2";"0";"0"
"200500033980";"1";"0";"1";"0"
"200500033981";"0";"0";"1";"0"
"200500033982";"1";"0";"1";"0"
"200500033983";"1";"0";"1";"0"
"200500033984";"0";"0";"0";"1"
"200500033985";"1";"1";"0";"0"
"200500033986";"1";"1";"0";"0"
"200500033987";"1";"1";"0";"0"
"200500039793";"1";"1";"0";"0"
"200500039794";"3";"1";"0";"0"
"200500039795";"0";"1";"0";"0"
"200500039796";"0";"0";"1";"0"
"200500039797";"1";"0";"1";"0"
"200500039798";"2";"3";"0";"0"
"200500039799";"0";"3";"1";"1"
"200500039800";"1";"0";"0";"1"
"200500039801";"1";"1";"0";"0"
"200500039802";"0";"0";"2";"1"
"200500039803";"2";"0";"1";"0"
"200500039804";"2";"2";"0";"0"
"200500039805";"1";"0";"1";"0"
"200500039806";"1";"1";"0";"0"
"200500039807";"1";"0";"1";"0"
"200500039808";"0";"2";"1";"1"
"200500039809";"1";"2";"2";"0"
"200500039810";"4";"0";"1";"0"
"200500039811";"0";"1";"0";"0"
"200500039812";"3";"0";"1";"0"
"200500040014";"0";"0";"1";"0"
"200500040015";"1";"0";"1";"0"
"200500040017";"4";"0";"1";"0"
"200500040018";"10";"1";"0";"0"
"200500040188";"0";"5";"0";"0"
"200500040189";"0";"2";"0";"0"
"200500040190";"1";"1";"0";"0"
"200500042800";"1";"0";"0";"1"
"200500042801";"1";"0";"1";"0"
"200500042802";"1";"0";"1";"0"
"200500042803";"1";"1";"0";"0"
"200500042804";"2";"0";"1";"0"
"200500042805";"1";"0";"0";"1"
"200500042806";"0";"2";"0";"0"
"200500042807";"1";"0";"1";"0"
"200500042808";"1";"0";"0";"2"
"200500042809";"1";"1";"0";"0"
"200500042810";"2";"1";"0";"0"
"200500042811";"1";"0";"1";"0"
"200500042812";"0";"1";"1";"0"
"200500042813";"1";"1";"0";"0"
"200500042814";"0";"0";"1";"0"
"200500042815";"1";"2";"0";"0"
"200500042816";"0";"0";"2";"0"
"200500042817";"2";"0";"2";"0"
"200500042818";"0";"2";"1";"0"
"200500042819";"2";"0";"1";"0"
"200500042820";"0";"0";"0";"1"
"200500042821";"0";"1";"0";"1"
"200500042822";"0";"0";"2";"0"
"200500042823";"3";"0";"1";"0"
"200500042824";"2";"0";"2";"0"
"200500042825";"3";"0";"0";"1"
"200500042826";"1";"1";"0";"0"
"200500043023";"1";"0";"1";"0"
"200500043025";"0";"2";"1";"0"
"200500044931";"0";"0";"0";"1"
"200500044932";"4";"1";"0";"0"
"200500044933";"1";"1";"0";"0"
"200500044934";"1";"0";"1";"0"
"200500044935";"2";"2";"0";"0"
"200500044936";"1";"1";"0";"0"
"200500044937";"1";"1";"0";"0"
"200500044938";"1";"0";"0";"1"
"200500044939";"1";"0";"1";"0"
"200500044940";"1";"1";"0";"0"
"200500044941";"1";"1";"0";"0"
"200500044942";"1";"2";"0";"0"
"200500044943";"0";"1";"0";"0"
"200500044944";"1";"3";"0";"0"
"200500044945";"1";"1";"0";"0"
"200500044946";"1";"0";"1";"0"
"200500044947";"1";"0";"0";"1"
"200500044948";"1";"1";"0";"0"
"200500044949";"0";"1";"0";"0"
"200500044950";"1";"2";"0";"0"
"200500044951";"3";"0";"1";"0"
"200500044952";"1";"1";"0";"0"
"200500044953";"1";"0";"1";"0"
"200500044954";"0";"1";"2";"0"
"200500044955";"1";"0";"1";"0"
"200500049864";"0";"0";"0";"1"
"200500049865";"0";"0";"1";"0"
"200500049866";"0";"0";"1";"0"
"200500049867";"0";"0";"1";"0"
"200500049868";"0";"0";"2";"0"
"200500049869";"1";"0";"1";"0"
"200500049870";"0";"1";"1";"0"
"200500049871";"2";"0";"4";"0"
"200500049872";"0";"0";"1";"0"
"200500049873";"0";"0";"1";"0"
"200500049874";"0";"0";"1";"0"
"200500049875";"0";"2";"0";"0"
"200500049876";"4";"0";"2";"0"
"200500049877";"1";"3";"0";"0"
"200500049878";"1";"1";"0";"0"
"200500049879";"1";"0";"1";"0"
"200500049880";"1";"1";"0";"0"
"200500049881";"1";"0";"1";"0"
"200500049882";"0";"1";"1";"0"
"200500049883";"0";"0";"1";"1"
"200500049884";"0";"2";"0";"0"
"200500049885";"1";"0";"0";"1"
"200500049886";"1";"0";"1";"0"
"200500049887";"0";"1";"0";"0"
"200500049888";"1";"3";"0";"0"
"200500049889";"0";"0";"1";"0"
"200500049890";"1";"0";"1";"0"
"200500049891";"0";"0";"0";"1"
"200500050049";"1";"1";"2";"0"
"200500050050";"3";"0";"1";"0"
"200500050210";"0";"1";"0";"0"
"200500051557";"0";"0";"1";"1"
"200500051558";"1";"1";"0";"0"
"200500051559";"1";"0";"1";"0"
"200500051560";"1";"0";"1";"0"
"200500051561";"1";"1";"0";"0"
"200500051562";"1";"0";"1";"0"
"200500051563";"1";"1";"0";"0"
"200500051564";"2";"0";"1";"0"
"200500051565";"3";"0";"1";"0"
"200500051566";"1";"1";"0";"0"
"200500051567";"2";"4";"0";"0"
"200500051568";"1";"1";"0";"0"
"200500051569";"1";"0";"1";"0"
"200500055384";"1";"0";"1";"0"
"200500055818";"0";"0";"0";"2"
"200500055819";"0";"0";"0";"2"
"200500055820";"0";"1";"0";"0"
"200500055821";"0";"0";"0";"2"
"200500055822";"1";"1";"0";"0"
"200500055823";"3";"0";"1";"0"
"200500055824";"1";"0";"1";"0"
"200500055825";"1";"1";"3";"0"
"200500055826";"2";"0";"1";"0"
"200500055827";"1";"0";"1";"0"
"200500055828";"1";"0";"4";"0"
"200500055829";"1";"0";"1";"0"
"200500055830";"0";"1";"1";"0"
"200500055831";"0";"1";"0";"0"
"200500055832";"0";"1";"0";"0"
"200500055833";"2";"1";"0";"0"
"200500055834";"3";"0";"1";"0"
"200500055835";"1";"1";"0";"1"
"200500055836";"0";"2";"2";"0"
"200500055837";"0";"0";"0";"1"
"200500055838";"1";"0";"1";"0"
"200500055839";"0";"0";"2";"0"
"200500055840";"1";"0";"1";"0"
"200500055841";"2";"1";"0";"0"
"200500055842";"2";"1";"0";"0"
"200500055843";"0";"0";"2";"0"
"200500056051";"2";"1";"1";"0"
"200500056052";"0";"1";"1";"0"
"200500056053";"0";"0";"1";"1"
"200500056054";"1";"0";"1";"1"
"200500056055";"1";"1";"0";"0"
"200500058651";"2";"3";"1";"0"
"200500058652";"2";"0";"1";"0"
"200500058653";"1";"0";"1";"0"
"200500058654";"2";"0";"1";"0"
"200500058655";"0";"1";"1";"0"
"200500058656";"0";"0";"2";"0"
"200500058657";"0";"0";"0";"1"
"200500058658";"2";"0";"1";"0"
"200500058659";"1";"0";"1";"0"
"200500058660";"1";"1";"0";"0"
"200500058661";"1";"0";"1";"0"
"200500058662";"0";"0";"1";"0"
"200500062169";"1";"1";"0";"0"
"200500062170";"0";"1";"0";"0"
"200500062171";"1";"1";"1";"0"
"200500062172";"0";"0";"2";"0"
"200500062173";"1";"0";"1";"0"
"200500062174";"1";"1";"0";"0"
"200500062175";"1";"0";"1";"0"
"200500062176";"1";"1";"0";"0"
"200500062177";"1";"1";"0";"0"
"200500062178";"2";"1";"0";"0"
"200500062179";"2";"0";"1";"0"
"200500062180";"1";"2";"0";"0"
"200500062181";"3";"1";"0";"0"
"200500062182";"2";"0";"1";"0"
"200500062183";"2";"1";"0";"0"
"200500062184";"0";"2";"0";"0"
"200500062185";"1";"0";"1";"0"
"200500062186";"1";"1";"0";"0"
"200500062187";"1";"1";"0";"0"
"200500062188";"1";"0";"1";"0"
"200500062189";"1";"1";"1";"0"
"200500062190";"2";"1";"0";"0"
"200500062191";"1";"1";"0";"0"
"200500062192";"0";"1";"0";"0"
"200500062193";"0";"1";"0";"0"
"200500062194";"2";"3";"0";"0"
"200500062195";"1";"1";"0";"0"
"200500062196";"1";"1";"0";"0"
"200500062197";"1";"1";"0";"0"
"200500062198";"2";"0";"1";"0"
"200500064304";"0";"2";"0";"0"
"200500064305";"1";"0";"1";"0"
"200500064306";"1";"0";"0";"2"
"200500064307";"1";"0";"1";"0"
"200500064308";"1";"0";"0";"1"
"200500064309";"0";"0";"1";"0"
"200500064310";"0";"3";"0";"0"
"200500064311";"1";"1";"0";"0"
"200500064312";"0";"1";"0";"0"
"200500064313";"0";"0";"1";"0"
"200500064314";"0";"0";"1";"0"
"200500064315";"1";"0";"1";"0"
"200500064316";"0";"0";"1";"0"
"200500064317";"0";"2";"1";"0"
"200500064318";"1";"0";"1";"0"
"200500064319";"0";"0";"3";"0"
"200500064320";"1";"0";"0";"1"
"200500064321";"1";"1";"1";"0"
"200500064322";"1";"0";"1";"0"
"200500064323";"0";"0";"0";"1"
"200500064324";"1";"0";"0";"1"
"200500064325";"1";"0";"1";"0"
"200500064326";"0";"1";"0";"0"
"200500064327";"0";"0";"1";"0"
"200500064328";"1";"0";"0";"1"
"200500064329";"1";"1";"0";"0"
"200500064330";"1";"0";"1";"0"
"200500064331";"1";"0";"1";"0"
"200500064332";"1";"0";"1";"0"
"200500064333";"1";"1";"0";"0"
"200500064334";"0";"1";"2";"0"
"200500064335";"0";"1";"0";"0"
"200500064336";"1";"3";"0";"0"
"200500064514";"0";"1";"1";"0"
"200500066587";"1";"0";"1";"0"
"200500066588";"1";"0";"1";"0"
"200500066589";"1";"0";"1";"0"
"200500066590";"0";"1";"2";"0"
"200500066591";"0";"3";"0";"0"
"200500066592";"0";"1";"0";"0"
"200500066593";"0";"0";"3";"0"
"200500066594";"2";"1";"0";"0"
"200500066595";"1";"0";"1";"0"
"200500066596";"1";"1";"0";"0"
"200500066597";"2";"1";"0";"0"
"200500066598";"1";"0";"1";"0"
"200500066599";"0";"2";"0";"0"
"200500066600";"2";"1";"0";"0"
"200500066601";"1";"1";"0";"0"
"200500066602";"0";"2";"0";"0"
"200500066603";"1";"1";"0";"0"
"200500066604";"0";"1";"0";"0"
"200500066605";"1";"1";"0";"0"
"200500066606";"1";"0";"1";"0"
"200500066607";"1";"1";"0";"0"
"200500066608";"5";"1";"0";"0"
"200500066609";"0";"1";"0";"0"
"200500066610";"1";"1";"0";"0"
"200500066611";"0";"0";"3";"0"
"200500066612";"1";"0";"1";"0"
"200500066613";"1";"0";"1";"0"
"200500066614";"1";"2";"0";"0"
"200500066615";"0";"2";"0";"0"
"200500066616";"1";"1";"0";"0"
"200500071941";"0";"0";"4";"1"
"200500071942";"1";"0";"1";"1"
"200500071943";"0";"2";"1";"0"
"200500071944";"1";"0";"0";"1"
"200500071945";"0";"0";"0";"3"
"200500071946";"1";"0";"0";"1"
"200500071947";"0";"1";"1";"0"
"200500071948";"2";"0";"1";"0"
"200500071949";"1";"0";"1";"0"
"200500071950";"1";"2";"0";"0"
"200500071951";"0";"0";"1";"0"
"200500071952";"2";"0";"2";"0"
"200500071953";"0";"0";"1";"0"
"200500071954";"1";"1";"0";"0"
"200500071955";"1";"0";"1";"0"
"200500071956";"0";"2";"0";"0"
"200500071957";"1";"1";"0";"0"
"200500071958";"1";"2";"1";"0"
"200500071959";"1";"0";"1";"0"
"200500071960";"1";"0";"1";"0"
"200500071961";"1";"1";"0";"0"
"200500071962";"1";"1";"0";"0"
"200500072098";"0";"1";"1";"0"
"200500072252";"0";"1";"0";"0"
"200500073888";"1";"0";"1";"0"
"200500073889";"1";"0";"1";"0"
"200500073890";"1";"1";"1";"0"
"200500073891";"0";"0";"2";"0"
"200500073892";"1";"0";"1";"0"
"200500073893";"1";"0";"1";"0"
"200500073894";"1";"0";"1";"0"
"200500073895";"1";"1";"0";"0"
"200500073896";"0";"1";"0";"0"
"200500073897";"1";"1";"0";"0"
"200500073898";"2";"2";"0";"0"
"200500073899";"1";"0";"1";"0"
"200500073900";"2";"1";"0";"0"
"200500073901";"1";"1";"0";"0"
"200500073902";"3";"2";"0";"0"
"200500073903";"0";"0";"1";"0"
"200500073904";"2";"1";"0";"0"
"200500073905";"1";"0";"1";"0"
"200500073906";"1";"2";"0";"0"
"200500073907";"1";"1";"0";"0"
"200500073908";"0";"2";"0";"0"
"200500073909";"1";"1";"0";"0"
"200500073910";"1";"0";"1";"0"
"200500073911";"1";"1";"0";"0"
"200500073912";"1";"0";"1";"0"
"200500073913";"2";"2";"0";"0"
"200500073914";"1";"1";"0";"0"
"200500073915";"0";"0";"1";"0"
"200500073916";"1";"1";"0";"0"
"200500073917";"0";"0";"1";"0"
"200500073918";"1";"0";"1";"0"
"200500073919";"0";"0";"1";"0"
"200500079314";"0";"0";"1";"0"
"200500079315";"1";"0";"1";"0"
"200500079316";"1";"0";"1";"0"
"200500079317";"0";"0";"1";"0"
"200500079318";"0";"0";"1";"0"
"200500079319";"2";"0";"1";"0"
"200500079320";"0";"0";"3";"0"
"200500079321";"1";"0";"2";"1"
"200500079322";"1";"1";"0";"0"
"200500079323";"1";"0";"1";"0"
"200500079324";"0";"0";"0";"1"
"200500079325";"1";"0";"1";"0"
"200500079326";"2";"3";"1";"0"
"200500079327";"0";"0";"1";"1"
"200500079328";"0";"1";"1";"0"
"200500079329";"2";"1";"0";"0"
"200500079473";"0";"1";"1";"0"
"200500079474";"1";"0";"1";"0"
"200500079475";"2";"0";"0";"1"
"200500079638";"0";"1";"1";"0"
"200500081313";"0";"0";"1";"0"
"200500081314";"1";"0";"1";"0"
"200500081315";"2";"0";"1";"0"
"200500081316";"1";"1";"0";"0"
"200500081317";"0";"0";"1";"1"
"200500081318";"1";"0";"1";"0"
"200500081319";"1";"1";"0";"0"
