"Num_Acc";"an";"mois";"jour";"hrmn";"Jour_semaine";"lum";"agg";"atm";"adr";"long";"lat";"dep";"catu";"grav";"sexe";"trajet";"age";"gravit";"heure";"weekend";"grnds_vacs";"fev";"oct";"traj1";"traj2";"traj3";"traj4";"traj5";"catusag";"atmos";"lumi";"cat1";"cat2";"cat3";"cat4";"cat5";"cat6"
200500001684;2005;1;27;1030;"Jeudi";1;1;1;"Rue des maisons rouges";"224600.0";4818400;450;1;1;0;4;24;0;10;0;0;0;0;0;0;0;1;0;1;0;3;0;0;0;1;0;0
200500001684;2005;1;27;1030;"Jeudi";1;1;1;"Rue des maisons rouges";"224600.0";4818400;450;1;2;0;9;33;3;10;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;1;0;0
200500001685;2005;1;3;315;"Lundi";3;0;1;"";"0.0";0;450;1;4;0;4;42;1;3;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0
200500001686;2005;1;18;1400;"Mardi";1;1;1;"";"0.0";0;450;1;2;0;9;78;3;14;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500001686;2005;1;18;1400;"Mardi";1;1;1;"";"0.0";0;450;1;1;0;9;23;0;14;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500001837;2005;1;8;2300;"Samedi";3;0;1;"";"0.0";0;450;1;4;0;5;24;1;23;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0
200500001991;2005;1;10;1545;"Lundi";1;0;1;"";"0.0";0;450;1;3;0;4;50;2;15;0;0;0;0;0;0;0;1;0;1;0;3;0;0;1;0;0;0
200500001991;2005;1;10;1545;"Lundi";1;0;1;"";"0.0";0;450;1;1;0;4;36;0;15;0;0;0;0;0;0;0;1;0;1;0;3;0;0;1;0;0;0
200500003612;2005;1;8;1400;"Samedi";1;1;1;"GAILLARDIN (AVENUE)";"";NA;450;1;3;0;9;19;2;14;1;0;0;0;0;0;0;0;0;1;0;3;0;1;1;0;0;0
200500003612;2005;1;8;1400;"Samedi";1;1;1;"GAILLARDIN (AVENUE)";"";NA;450;1;1;1;9;54;0;14;1;0;0;0;0;0;0;0;0;1;0;3;0;1;1;0;0;0
200500003613;2005;1;3;845;"Lundi";1;1;1;"1, CROIX FEUILLATRE (RUE";"";NA;450;1;1;1;1;21;0;8;0;0;0;0;1;0;0;0;0;1;0;3;0;0;1;0;0;1
200500003613;2005;1;3;845;"Lundi";1;1;1;"1, CROIX FEUILLATRE (RUE";"";NA;450;1;4;0;2;18;1;8;0;0;0;0;0;1;0;0;0;1;0;3;0;0;1;0;0;1
200500003614;2005;1;1;1;"Samedi";5;1;2;"ROUTE NATIONALE 20";"";NA;450;1;1;0;5;20;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0
200500003614;2005;1;1;1;"Samedi";5;1;2;"ROUTE NATIONALE 20";"";NA;450;2;1;0;9;44;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003614;2005;1;1;1;"Samedi";5;1;2;"ROUTE NATIONALE 20";"";NA;450;2;4;0;9;33;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003615;2005;1;1;1550;"Samedi";1;1;2;"25, SAINT CYR (ROUTE DE";"";NA;450;1;4;0;5;51;1;15;1;0;0;0;0;0;0;0;1;1;1;3;1;0;1;0;0;0
200500003615;2005;1;1;1550;"Samedi";1;1;2;"25, SAINT CYR (ROUTE DE";"";NA;450;2;4;1;9;27;1;15;1;0;0;0;0;0;0;0;0;1;1;3;1;0;1;0;0;0
200500003616;2005;1;4;1015;"Mardi";1;1;1;"GENEVOIX (RUE MAURICE GE";"";NA;450;1;4;0;9;61;1;10;0;0;0;0;0;0;0;0;0;1;0;3;0;1;1;0;0;0
200500003616;2005;1;4;1015;"Mardi";1;1;1;"GENEVOIX (RUE MAURICE GE";"";NA;450;1;1;0;5;63;0;10;0;0;0;0;0;0;0;0;1;1;0;3;0;1;1;0;0;0
200500003617;2005;1;18;1500;"Mardi";1;1;2;"10, JEANNE D'ARC (RUE JE";"";NA;450;1;1;0;9;31;0;15;0;0;0;0;0;0;0;0;0;1;1;3;0;0;1;0;0;0
200500003617;2005;1;18;1500;"Mardi";1;1;2;"10, JEANNE D'ARC (RUE JE";"";NA;450;2;3;1;9;28;2;15;0;0;0;0;0;0;0;0;0;1;1;3;0;0;1;0;0;0
200500003617;2005;1;18;1500;"Mardi";1;1;2;"10, JEANNE D'ARC (RUE JE";"";NA;450;1;1;1;9;50;0;15;0;0;0;0;0;0;0;0;0;1;1;3;0;0;1;0;0;0
200500003618;2005;1;6;1040;"Jeudi";1;1;2;"2, CLEMENCEAU (GEORGES)";"";NA;450;1;1;0;5;28;0;10;0;0;0;0;0;0;0;0;1;1;1;3;1;0;1;0;0;0
200500003618;2005;1;6;1040;"Jeudi";1;1;2;"2, CLEMENCEAU (GEORGES)";"";NA;450;1;3;0;9;40;2;10;0;0;0;0;0;0;0;0;0;1;1;3;1;0;1;0;0;0
200500003619;2005;1;6;1755;"Jeudi";5;1;1;"27, PARIS (AVENUE DE)";"";NA;450;1;1;1;9;51;0;17;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
200500003619;2005;1;6;1755;"Jeudi";5;1;1;"27, PARIS (AVENUE DE)";"";NA;450;1;4;0;9;35;1;17;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
200500003620;2005;1;7;1750;"Vendredi";4;1;1;"151, NATIONALE (ROUTE )";"";NA;450;1;4;1;5;64;1;17;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0
200500003620;2005;1;7;1750;"Vendredi";4;1;1;"151, NATIONALE (ROUTE )";"";NA;450;1;1;0;5;29;0;17;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0
200500003621;2005;1;9;1615;"Dimanche";1;1;1;"151, GAMBETTA (RUE)";"";NA;450;1;4;0;5;17;1;16;1;0;0;0;0;0;0;0;1;1;0;3;0;0;1;0;0;0
200500003621;2005;1;9;1615;"Dimanche";1;1;1;"151, GAMBETTA (RUE)";"";NA;450;1;1;0;5;55;0;16;1;0;0;0;0;0;0;0;1;1;0;3;0;0;1;0;0;0
200500003622;2005;1;10;1355;"Lundi";1;1;1;"27, VARENNES (RUE DES)";"";NA;450;1;1;0;9;43;0;13;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500003622;2005;1;10;1355;"Lundi";1;1;1;"27, VARENNES (RUE DES)";"";NA;450;1;4;0;9;34;1;13;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500003623;2005;1;10;1420;"Lundi";1;1;1;"15, BARENTIN (QUAI)";"";NA;450;1;1;0;4;24;0;14;0;0;0;0;0;0;0;1;0;1;0;3;1;0;1;0;0;0
200500003623;2005;1;10;1420;"Lundi";1;1;1;"15, BARENTIN (QUAI)";"";NA;450;3;4;1;9;28;1;14;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0
200500003624;2005;1;10;955;"Lundi";1;1;1;"887, SOURCE (RUE DE LA)";"";NA;450;1;1;1;9;20;0;9;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500003624;2005;1;10;955;"Lundi";1;1;1;"887, SOURCE (RUE DE LA)";"";NA;450;1;4;0;9;69;1;9;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500003625;2005;1;11;1730;"Mardi";5;1;2;"GALLOUX (AVENUE GASTON)";"";NA;450;1;3;0;9;78;2;17;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003625;2005;1;11;1730;"Mardi";5;1;2;"GALLOUX (AVENUE GASTON)";"";NA;450;1;1;0;4;55;0;17;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0
200500003625;2005;1;11;1730;"Mardi";5;1;2;"GALLOUX (AVENUE GASTON)";"";NA;450;1;1;1;9;24;0;17;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003625;2005;1;11;1730;"Mardi";5;1;2;"GALLOUX (AVENUE GASTON)";"";NA;450;2;1;1;9;20;0;17;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003625;2005;1;11;1730;"Mardi";5;1;2;"GALLOUX (AVENUE GASTON)";"";NA;450;2;4;0;9;1;1;17;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003626;2005;1;12;1210;"Mercredi";1;1;8;"NATIONALE (ROUTE )";"";NA;450;1;1;1;9;56;0;12;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500003626;2005;1;12;1210;"Mercredi";1;1;8;"NATIONALE (ROUTE )";"";NA;450;1;4;1;9;34;1;12;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500003627;2005;1;14;40;"Vendredi";5;1;5;"115, VERDUN (RUE DE VERD";"";NA;450;1;1;0;9;23;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
200500003627;2005;1;14;40;"Vendredi";5;1;5;"115, VERDUN (RUE DE VERD";"";NA;450;2;1;1;9;21;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
200500003627;2005;1;14;40;"Vendredi";5;1;5;"115, VERDUN (RUE DE VERD";"";NA;450;2;1;1;9;21;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
200500003627;2005;1;14;40;"Vendredi";5;1;5;"115, VERDUN (RUE DE VERD";"";NA;450;2;4;0;9;20;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
200500003628;2005;1;15;540;"Samedi";5;1;5;"DE GAULLE (AVENUE CHARLE";"";NA;450;1;1;0;1;47;0;5;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0
200500003628;2005;1;15;540;"Samedi";5;1;5;"DE GAULLE (AVENUE CHARLE";"";NA;450;1;4;1;9;23;1;5;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
200500003628;2005;1;15;540;"Samedi";5;1;5;"DE GAULLE (AVENUE CHARLE";"";NA;450;2;4;1;9;20;1;5;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
200500003629;2005;1;17;2045;"Lundi";5;1;2;"114, CHARBONNIERE (RUE D";"";NA;450;1;1;0;1;47;0;20;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003629;2005;1;17;2045;"Lundi";5;1;2;"114, CHARBONNIERE (RUE D";"";NA;450;1;4;1;5;36;1;20;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0
200500003629;2005;1;17;2045;"Lundi";5;1;2;"114, CHARBONNIERE (RUE D";"";NA;450;2;4;1;9;5;1;20;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003630;2005;1;19;1420;"Mercredi";1;1;8;"20, ZAY (AVENUE JEAN ZAY";"";NA;450;1;4;1;1;21;1;14;0;0;0;0;1;0;0;0;0;1;0;3;0;0;1;0;0;0
200500003630;2005;1;19;1420;"Mercredi";1;1;8;"20, ZAY (AVENUE JEAN ZAY";"";NA;450;1;1;0;5;21;0;14;0;0;0;0;0;0;0;0;1;1;0;3;0;0;1;0;0;0
200500003631;2005;1;23;1225;"Dimanche";1;1;1;"23, FAUBOURG SAINT VINCE";"";NA;450;1;1;0;5;45;0;12;1;0;0;0;0;0;0;0;1;1;0;3;0;0;1;0;0;0
200500003631;2005;1;23;1225;"Dimanche";1;1;1;"23, FAUBOURG SAINT VINCE";"";NA;450;3;3;0;5;4;2;12;1;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0
200500003632;2005;1;22;1330;"Samedi";1;1;2;"76, LAMBALLE (BOULEVARD";"";NA;450;1;4;0;5;21;1;13;1;0;0;0;0;0;0;0;1;1;1;3;1;0;1;0;0;0
200500003632;2005;1;22;1330;"Samedi";1;1;2;"76, LAMBALLE (BOULEVARD";"";NA;450;2;4;0;9;19;1;13;1;0;0;0;0;0;0;0;0;1;1;3;1;0;1;0;0;0
200500003633;2005;1;25;740;"Mardi";2;1;1;"GAMBETTA (RUE)";"";NA;450;1;1;0;1;49;0;7;0;0;0;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0
200500003633;2005;1;25;740;"Mardi";2;1;1;"GAMBETTA (RUE)";"";NA;450;1;4;0;5;48;1;7;0;0;0;0;0;0;0;0;1;1;0;2;0;0;1;0;0;0
200500003634;2005;1;27;220;"Jeudi";5;1;1;"21, SAINT MESMIN (ROUTE";"";NA;450;1;3;0;5;24;2;2;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0
200500003635;2005;1;26;2020;"Mercredi";5;1;1;"3342, GENERAL DE GAULLE";"";NA;450;1;4;0;1;30;1;20;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0
200500003635;2005;1;26;2020;"Mercredi";5;1;1;"3342, GENERAL DE GAULLE";"";NA;450;1;4;0;2;21;1;20;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0
200500003636;2005;1;28;1755;"Vendredi";5;1;2;"MARECHAL LECLERC (RUE DU";"";NA;450;1;4;0;9;26;1;17;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003637;2005;1;28;1230;"Vendredi";1;1;2;"MAIRIE (RUE DE LA)";"";NA;450;1;1;0;5;59;0;12;0;0;0;0;0;0;0;0;1;1;1;3;0;0;1;0;0;0
200500003637;2005;1;28;1230;"Vendredi";1;1;2;"MAIRIE (RUE DE LA)";"";NA;450;1;4;0;9;46;1;12;0;0;0;0;0;0;0;0;0;1;1;3;0;0;1;0;0;0
200500003638;2005;1;30;1545;"Dimanche";1;1;1;"41, DESSAUX (RUE ANDRE D";"";NA;450;1;4;1;5;21;1;15;1;0;0;0;0;0;0;0;1;1;0;3;0;0;1;0;0;1
200500003638;2005;1;30;1545;"Dimanche";1;1;1;"41, DESSAUX (RUE ANDRE D";"";NA;450;1;1;0;9;27;0;15;1;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;1
200500003638;2005;1;30;1545;"Dimanche";1;1;1;"41, DESSAUX (RUE ANDRE D";"";NA;450;2;4;0;9;3;1;15;1;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;1
200500003638;2005;1;30;1545;"Dimanche";1;1;1;"41, DESSAUX (RUE ANDRE D";"";NA;450;1;1;0;5;30;0;15;1;0;0;0;0;0;0;0;1;1;0;3;0;0;1;0;0;1
200500003639;2005;1;27;1427;"Jeudi";1;1;1;"DROITS DE L'HOMME (AVENU";"";NA;450;1;4;1;4;26;1;14;0;0;0;0;0;0;0;1;0;1;0;3;0;0;1;0;0;0
200500003639;2005;1;27;1427;"Jeudi";1;1;1;"DROITS DE L'HOMME (AVENU";"";NA;450;1;1;0;4;42;0;14;0;0;0;0;0;0;0;1;0;1;0;3;0;0;1;0;0;0
200500003640;2005;1;31;1353;"Lundi";1;1;1;"SOULAS (AVENUE LOUIS JOS";"";NA;450;1;3;0;5;52;2;13;0;0;0;0;0;0;0;0;1;1;0;3;0;0;1;0;0;0
200500003641;2005;1;28;2255;"Vendredi";5;1;2;"275, ORMES (RUE DES)";"";NA;450;1;4;0;9;16;1;22;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003641;2005;1;28;2255;"Vendredi";5;1;2;"275, ORMES (RUE DES)";"";NA;450;2;1;0;9;20;0;22;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500003641;2005;1;28;2255;"Vendredi";5;1;2;"275, ORMES (RUE DES)";"";NA;450;2;1;0;9;18;0;22;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
200500007984;2005;2;3;645;"Jeudi";2;1;1;"1176, DOCTEUR SCHWEITZER";"";NA;450;1;3;1;9;23;2;6;0;0;1;0;0;0;0;0;0;1;0;2;0;1;1;0;0;0
200500007985;2005;2;4;2255;"Vendredi";5;1;1;"24 bis, BARAUDIERE (RUE";"";NA;450;1;1;0;5;25;0;22;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0
200500007985;2005;2;4;2255;"Vendredi";5;1;1;"24 bis, BARAUDIERE (RUE";"";NA;450;2;3;1;9;21;2;22;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
200500007985;2005;2;4;2255;"Vendredi";5;1;1;"24 bis, BARAUDIERE (RUE";"";NA;450;1;1;0;4;26;0;22;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0
200500007985;2005;2;4;2255;"Vendredi";5;1;1;"24 bis, BARAUDIERE (RUE";"";NA;450;2;1;0;9;35;0;22;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
200500007986;2005;2;5;905;"Samedi";1;1;1;"82, GENERAL DE GAULLE (A";"";NA;450;1;3;0;5;71;2;9;1;0;1;0;0;0;0;0;1;1;0;3;0;1;1;0;0;0
200500007986;2005;2;5;905;"Samedi";1;1;1;"82, GENERAL DE GAULLE (A";"";NA;450;3;3;0;5;20;2;9;1;0;1;0;0;0;0;0;1;0;0;3;0;1;1;0;0;0
200500007986;2005;2;5;905;"Samedi";1;1;1;"82, GENERAL DE GAULLE (A";"";NA;450;3;3;0;5;33;2;9;1;0;1;0;0;0;0;0;1;0;0;3;0;1;1;0;0;0
200500007987;2005;2;7;1700;"Lundi";1;1;1;"19, VILLEMANDEUR (RUE DE";"";NA;450;1;1;1;9;39;0;17;0;0;1;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500007987;2005;2;7;1700;"Lundi";1;1;1;"19, VILLEMANDEUR (RUE DE";"";NA;450;1;3;0;9;15;2;17;0;0;1;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500007988;2005;2;26;1900;"Samedi";3;1;1;"33, VIMORY (RUE DE)";"";NA;450;1;1;1;5;66;0;19;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
200500007988;2005;2;26;1900;"Samedi";3;1;1;"33, VIMORY (RUE DE)";"";NA;450;1;3;0;5;42;2;19;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
200500007989;2005;2;3;1530;"Jeudi";1;1;1;"2, COMMANDANT ARAGO (RUE";"";NA;450;1;1;0;9;55;0;15;0;0;1;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500007989;2005;2;3;1530;"Jeudi";1;1;1;"2, COMMANDANT ARAGO (RUE";"";NA;450;3;4;0;9;62;1;15;0;0;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0
200500007990;2005;2;6;1410;"Dimanche";1;1;1;"57, MARTIN (BOULEVARD AL";"";NA;450;1;1;1;9;40;0;14;1;0;1;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500007990;2005;2;6;1410;"Dimanche";1;1;1;"57, MARTIN (BOULEVARD AL";"";NA;450;1;1;0;9;58;0;14;1;0;1;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
