"Num_Acc";"cat1";"cat2";"cat3";"cat4";"cat5";"cat6"
"200500015446";"0";"0";"2";"0";"0";"0"
"200500015447";"0";"0";"1";"0";"0";"0"
"200500015448";"0";"0";"1";"0";"0";"0"
"200500015449";"0";"0";"2";"0";"0";"0"
"200500015450";"0";"1";"0";"0";"0";"0"
"200500015451";"0";"1";"1";"0";"0";"0"
"200500015452";"0";"0";"1";"0";"0";"0"
"200500015453";"0";"0";"0";"0";"0";"0"
"200500019806";"0";"0";"2";"0";"0";"0"
"200500019807";"0";"0";"3";"0";"0";"0"
"200500019808";"0";"0";"2";"0";"0";"0"
"200500019809";"0";"1";"1";"0";"0";"0"
"200500019810";"0";"0";"1";"0";"0";"0"
"200500019811";"0";"1";"1";"0";"0";"0"
"200500019812";"1";"0";"1";"0";"0";"0"
"200500019813";"0";"0";"2";"0";"0";"0"
"200500019814";"0";"0";"1";"0";"0";"0"
"200500019815";"0";"0";"1";"0";"0";"0"
"200500019816";"0";"1";"1";"0";"0";"0"
"200500019817";"0";"0";"2";"0";"0";"0"
"200500019818";"0";"0";"1";"0";"0";"0"
"200500019819";"0";"1";"1";"0";"0";"0"
"200500019820";"0";"1";"0";"0";"0";"0"
"200500019821";"1";"0";"1";"0";"0";"0"
"200500019822";"0";"1";"0";"0";"0";"0"
"200500019823";"0";"0";"1";"0";"0";"0"
"200500019824";"0";"0";"1";"0";"0";"0"
"200500019825";"0";"0";"2";"0";"0";"0"
"200500019826";"0";"1";"1";"0";"0";"0"
"200500019827";"0";"0";"0";"0";"0";"0"
"200500019828";"0";"0";"2";"0";"0";"0"
"200500019829";"0";"0";"2";"0";"0";"0"
"200500019830";"0";"0";"1";"0";"0";"0"
"200500019831";"0";"0";"2";"0";"0";"0"
"200500019832";"0";"0";"2";"0";"0";"0"
"200500019833";"0";"0";"3";"0";"0";"0"
"200500019834";"0";"0";"1";"0";"0";"0"
"200500019835";"0";"0";"2";"0";"0";"0"
"200500019836";"0";"0";"0";"0";"0";"0"
"200500019837";"0";"1";"1";"0";"0";"0"
"200500019838";"0";"0";"1";"0";"0";"0"
"200500019839";"0";"0";"1";"0";"0";"0"
"200500019840";"0";"1";"0";"0";"0";"0"
"200500019841";"0";"0";"1";"0";"0";"0"
"200500019842";"0";"0";"2";"0";"0";"0"
"200500019843";"0";"0";"0";"1";"0";"0"
"200500019844";"0";"0";"0";"0";"0";"0"
"200500019845";"0";"0";"1";"0";"0";"0"
"200500019846";"0";"0";"1";"0";"0";"0"
"200500024352";"0";"0";"1";"0";"0";"0"
"200500024353";"1";"0";"1";"0";"0";"0"
"200500024354";"0";"0";"1";"0";"0";"0"
"200500024355";"0";"0";"2";"0";"0";"0"
"200500024356";"0";"0";"0";"0";"0";"0"
"200500024357";"0";"0";"1";"0";"0";"0"
"200500024358";"0";"0";"1";"0";"0";"0"
"200500024359";"0";"0";"1";"0";"0";"0"
"200500024360";"0";"0";"1";"0";"0";"0"
"200500024361";"0";"0";"2";"0";"0";"0"
"200500024362";"0";"0";"0";"0";"0";"0"
"200500024363";"0";"0";"2";"0";"0";"0"
"200500024364";"0";"0";"1";"0";"0";"0"
"200500024365";"0";"1";"1";"0";"0";"0"
"200500024366";"0";"0";"1";"1";"0";"0"
"200500024496";"0";"0";"1";"0";"0";"0"
"200500024497";"0";"0";"0";"1";"0";"0"
"200500026086";"0";"0";"1";"0";"0";"0"
"200500026611";"0";"0";"1";"0";"0";"0"
"200500026612";"0";"0";"1";"1";"0";"0"
"200500026613";"0";"0";"0";"0";"0";"0"
